ID|Task-specific required inputs|Task-specific design and acceptance criteria
PC-018|MEETING_NOTES; AGREEMENTS|Separate agreed actions, open questions and follow-up dates. Ask for corrections without claiming unanimous agreement.
PC-019|WEEKLY_LEARNING; NEXT_WEEK_ACTIONS|Create a concise class update with three sections and no individual results. Prioritize actions over promotional adjectives.
PC-020|NEWSLETTER; MOBILE_LIMIT|Rewrite for a small screen using short sections. Preserve dates, costs and required actions exactly.
PC-021|NEWSLETTER; VERIFIED_CALENDAR|Audit conflicting dates, jargon, inaccessible formats and hidden action requests. Return corrections and unresolved confirmations.
PC-022|OFFICIAL_EVENT_DETAILS; APPROVED_FORM|Draft the notice, not a legally sufficient consent form. Refer to the school's approved permission process and leave unknowns flagged.
PC-023|MATERIALS; DEADLINES; RETURN_ITEMS|Make an action checklist ordered by deadline. Offer a contact route for access needs without requesting medical details in replies to public AI.
PC-024|OLD_SCHEDULE; CONFIRMED_NEW_SCHEDULE|Explain exactly what changed, what did not and what families must do. Never invent the reason or school policy.
PC-025|LOGISTICS_DRAFT; OFFICIAL_REQUIREMENTS|Check consent references, safety contacts, cost and dates. Hold the message if essential authorization is missing.
PC-026|SCHOOL_MESSAGE; READING_NEEDS|Replace jargon with plain language and define unavoidable terms. Preserve obligations and conditions without adding policy.
PC-027|MESSAGE; TARGET_LANGUAGE|Prepare short unambiguous source sentences plus a terminology list. Require competent human translation review before sending.
PC-028|MESSAGE; AUDIENCE_CONTEXT|Find idioms, assumptions about home resources and unexplained terminology. Suggest inclusive alternatives without stereotyping families.
PC-029|OBSERVABLE_CONCERN; SCHOOL_PROCEDURE|Draft a calm opening, listening questions and proposed support. Stop for safeguarding concerns and follow the approved local process.
PC-030|POINTS_OF_DISAGREEMENT; VERIFIED_RECORD|Separate facts, disputed accounts and requested decisions. Avoid legal advice, admissions or promises on behalf of the school.
RC-001|APPROVED_CRITERIA; BANK_SIZE|Create evidence-required comment frames with next-step slots. Mark every invented illustration as fictional and never prefill real learner claims.
RC-002|ONE_RECORD; LEARNING_EVIDENCE; LENGTH|Draft one balanced comment and map each factual clause to that record. Do not manufacture a strength to satisfy a formula.
RC-003|EXISTING_COMMENT; VERIFIED_EVIDENCE|Improve clarity and fairness without changing the factual meaning. Flag claims lacking evidence instead of replacing them with invented positives.
RC-004|LOCAL_MASTERY_LEVELS; CRITERIA|Write level-specific starters describing demonstrated evidence. Leave learner-specific evidence blank and preserve local terminology.
RC-005|STRENGTHS; NEXT_STEP_OPTIONS|Build compatible modular sentence parts and explain how to combine them. Warn against combinations that contradict the evidence.
RC-006|COMMENT_BANK; PROHIBITED_LABELS|Replace fixed-ability and personality labels with observable learning. Keep uncertainty visible when no evidence supports a replacement.
RC-007|COMMENT; CHARACTER_LIMIT|Shorten to the exact limit while preserving concern and next step. Include a character count and verify it locally before use.
RC-008|COMMENT; CONFIRMED_PRONOUN_FORM|Use only the supplied pronoun form or neutral name placeholders. Do not guess gender from names or change achievement evidence.
RC-009|OBJECTIVE; EVIDENCE_FIELDS|Create templates with explicit evidence, date-window and next-step slots. Block export while required factual slots remain empty.
RC-010|COMMENT_BANK; REQUIRED_CRITERIA|Identify duplicate meaning, vague praise and invented claims. Keep a smaller differentiated set with clear selection rules.
RC-011|OBJECTIVE; OBSERVED_SUCCESS|Write a precise strength sentence tied to that objective. Do not infer broad mastery from a single successful item.
RC-012|ERROR_PATTERN; AVAILABLE_SUPPORT|Translate the error into one achievable instructional next step. Avoid blaming effort or assigning home teaching duties.
RC-013|ASSESSMENT_EVIDENCE; CLASSROOM_EVIDENCE|Reconcile evidence sources explicitly and flag contradictions. Do not average conflicting observations into an unsupported confident statement.
RC-014|LIMITED_RECORD; REPORT_POLICY|State what is known and the evidence limitation respectfully. Do not invent results or use absence of evidence as evidence of low ability.
RC-015|TECHNICAL_NEXT_STEP; FAMILY_LANGUAGE|Explain one actionable learning move in plain language. Keep the action realistic without requiring family subject expertise.
RC-016|CURRENT_NEED; PLANNED_STRATEGY|Describe the proposed support as a plan, not a guarantee. Distinguish school action from optional home encouragement.
RC-017|COMMENT; SOURCE_RECORD|Return a sentence-by-sentence fact trace, unsupported claims and corrected draft. Verify that no evidence from another learner appears.
RC-018|MATH_CRITERIA; VERIFIED_WORK|Distinguish concepts, procedures and reasoning in the comment. Refer only to strands supported by the supplied evidence.
RC-019|SCIENCE_WORK; INVESTIGATION_CRITERIA|Describe observation, evidence and explanation separately. Never claim safe practical competence without relevant observations.
RC-020|READING_EVIDENCE; WRITING_EVIDENCE|Distinguish reading and writing strengths. Do not generalize one text or genre to overall language proficiency.
RC-021|SOURCE_ANALYSIS_WORK; CRITERIA|Describe claims, corroboration and perspective using actual work evidence. Avoid judging political agreement as achievement.
RC-022|ART_PROCESS_EVIDENCE; TECHNIQUE_CRITERIA|Describe process, technique and reflection without ranking innate talent or aesthetic taste as a personal trait.
RC-023|OBSERVED_PE_SKILL; ACCESS_ADAPTATIONS|Report taught observable skill and reflection, not body size, health or presumed athletic ability. Preserve approved adapted criteria.
RC-024|SUBJECT_COMMENT; APPROVED_TERMS|Check technical correctness and family readability. Define essential terminology instead of substituting misleading simplifications.
RC-025|SYNTHETIC_EVIDENCE_TABLE; LENGTH_LIMIT|Process each fictional row independently and return row IDs with fact traces. Include a deliberately sparse row to test restraint.
RC-026|ONE_DEIDENTIFIED_RECORD_AT_A_TIME|Reset context between records and export drafts with local placeholders. Reconcile row IDs and prevent merging evidence across learners.
RC-027|VERIFIED_COMMENT; VARIANT_COUNT|Vary syntax only; preserve every factual claim and uncertainty. Compare variants against the original evidence clause by clause.
RC-028|COMMENT_SET; MATCHED_RECORDS|Check duplicate text, contradictions and cross-record leakage. Hold any draft whose evidence cannot be matched to exactly one record.
RC-029|HARSH_COMMENT; OBSERVATIONS|Remove judgments about character or intent. Preserve the concern using supported observations and flag gaps instead of guessing.
RC-030|COMMENT; STRICT_LIMIT|Keep the material concern and actionable next step while shortening. Return removed wording and a verified count.
CM-001|ROUTINE_GOAL; ROOM_CONSTRAINTS|Write teach, model, rehearse and feedback steps with observable success. Include accessible cues and realistic movement time.
CM-002|LOW_STAKES_EVENT; VOLUNTARY_PARTICIPATION|Prepare neutral restorative questions without forced apology or disclosure. Defer harm, abuse or immediate danger to local safeguarding procedures.
CM-003|ENTRY_TASK; ROOM_ACCESS|Specify greeting, materials and first learning action. Provide a quiet accessible route for late arrival without public shame.
CM-004|NEXT_TASK; TRANSITION_SIGNAL|Give a short stop, move, begin script and visual alternative. Rehearse safely and adjust timing from observation.
CM-005|MATERIALS; DISTRIBUTION_LAYOUT|Assign predictable collection and return routines with backups. Avoid public penalties for unavailable supplies.
CM-006|DISMISSAL_POLICY; TRANSPORT_ROUTINES|Use only approved local dismissal procedures. Keep identity and transport records outside AI and flag missing supervision details.
CM-007|ROUTINE_OBSERVATIONS; TARGET_TIME|Compare duration, participation and independence without blaming learners. Suggest one teachable change and a repeat observation.
CM-008|OBSERVABLE_DISRUPTION; APPROVED_RESPONSE|Write a brief private reset naming the behavior, expected action and return to learning. Avoid threats or psychological interpretations.
CM-009|RECURRING_ACTION; TAUGHT_EXPECTATION|Offer neutral concise redirections and a choice within established boundaries. Do not escalate automatically because a script fails.
CM-010|APPROVED_REENTRY_PROCESS; MISSED_TASK|Plan a discreet return, access to missed work and optional check-in. Never invent reasons for leaving or override a safety plan.
CM-011|APPROVED_RESET_OPTIONS; ACCESS_NEEDS|Provide dignified temporary reset choices and re-entry steps. Never use isolation or withholding learning as an invented intervention.
CM-012|RESPONSE_PLAN; SCHOOL_POLICY|Identify shame, coercion, escalation and inconsistent expectations. Route safety concerns to the authorized staff process.
CM-013|NEUTRAL_EVENT_SUMMARY; PARTICIPATION_CHOICE|Ask what happened, impact and possible repair without presuming guilt. Permit uncertainty and declining a question.
CM-014|VOLUNTARY_ACTIONS; REVIEW_DATE|Distinguish proposed and agreed repair actions. Record consent and follow-up without requiring reconciliation or public apologies.
CM-015|RESTORATIVE_SCRIPT; SAFEGUARDING_RULES|Check leading questions, coercion and pressure on affected learners. State when the conversation must stop and be referred.
CM-016|AGE; EMOTION_VOCABULARY; OPT_OUT|Create an educational emotion-naming lesson using fictional situations. Avoid therapy, diagnosis or compulsory personal disclosure.
CM-017|AGE; APPROVED_PAUSE_STRATEGY|Model a simple pause-and-choice routine with an accessible alternative. Do not promise it will prevent distress or substitute for support.
CM-018|FICTIONAL_SCENARIO; PARTICIPATION_OPTIONS|Explore multiple perspectives without asking learners to disclose personal trauma. Allow written or silent participation.
CM-019|SEL_ACTIVITY; SCHOOL_BOUNDARIES|Check disclosure pressure, cultural assumptions and clinical claims. Replace personal case sharing with clearly fictional scenarios.
CM-020|COMMUNITY_GOAL; TEN_MINUTES|Allocate greeting, optional check-in, activity and close within ten minutes. Provide a pass option and avoid public emotion tracking.
CM-021|CHECKIN_PURPOSE; RESPONSE_OPTIONS|Offer private, written and pass options. Do not collect sensitive disclosures in shared AI systems or display individual results.
CM-022|FIVE_DAYS; COMMUNITY_THEMES|Vary the participation mode and purpose across the week. Avoid repetitive emotional disclosure prompts.
CM-023|ROOM_PLAN; NONIDENTIFYING_ACCESS_CONSTRAINTS|Propose a seating layout based on access and learning requirements. Keep identity mapping local and avoid punitive isolation.
CM-024|CURRENT_LEARNING_PATTERNS; REGROUP_DATE|Explain temporary grouping criteria and movement triggers. Do not disclose private evidence to classmates.
CM-025|SEATING_OR_GROUP_PLAN; ACCESS_RULES|Audit visibility, movement, stigma and isolation. Show a revised neutral layout and unresolved local constraints.
AD-001|AUTHORIZED_NOTES; CONFIRMED_DECISIONS|Separate decisions, proposed actions and open questions. Never invent attendees, consensus, owners or deadlines.
AD-002|BASELINE; TEACHING_GOAL; TERM_LENGTH|Draft a measurable professional goal with a feasible action and evidence source. Do not guarantee a student-outcome improvement.
AD-003|MESSAGE_PURPOSE; CONFIRMED_ACTION|Write a concise email with one clear request and verified deadline. Minimize recipients and confidential detail.
AD-004|ROUGH_NOTES; AUDIENCE|Distinguish completed work, current status and next action. Preserve uncertainty rather than making unfinished work sound complete.
AD-005|PURPOSE; AVAILABLE_SLOTS; PREPARATION|Offer a meeting request with decision goal and time limit. Use only confirmed scheduling options and timezone.
AD-006|MEETING_RECORD; OPEN_ITEMS|Separate decisions from suggestions and unresolved questions. Assign owners only when explicitly agreed.
AD-007|EMAIL; VERIFIED_CALENDAR; RECIPIENT_ROLES|Check recipient scope, tone, dates and attachments. Keep private addresses out of shared prompts and verify them locally before sending.
AD-008|DECISIONS_NEEDED; MEETING_MINUTES|Build a timed agenda prioritizing decisions and pre-reading. Keep information-only items separate and show total duration.
AD-009|DISCUSSION_NOTES|Return decision, action, owner, due date and parking-lot fields. Use unknown markers where the notes do not establish agreement.
AD-010|MINUTES; ORIGINAL_NOTES|Trace each decision and deadline to the notes. Flag invented consensus and preserve dissent or unresolved questions.
AD-011|BASELINE_EVIDENCE; TERM_DATES; RESOURCES|Create a semester sequence with feasible actions and review points. Label targets as proposed until approved.
AD-012|TEACHING_GOAL; MEASURES|Separate implementation indicators from student outcomes. Describe collection burden and limitations of each measure.
AD-013|GOAL; MIDPOINT_EVIDENCE|Define continue, adapt and stop rules using supplied priorities. Avoid arbitrary thresholds presented as research-established cutoffs.
AD-014|OBSERVATION_NOTES; LESSON_GOAL|Reflect on observed events, possible explanations and next steps separately. Do not invent student reactions or observer judgments.
AD-015|EVENT_NOTES|Build three columns: observation, interpretation and next action. Retain multiple plausible interpretations where evidence is weak.
AD-016|OBSERVER_FEEDBACK; CHANGEABLE_PRACTICE|Design one small instructional trial with baseline, measure and review date. Do not claim causality from a single lesson.
AD-017|OFFICIAL_TRIP_REQUIREMENTS; APPROVAL_STATUS|Create a checklist from supplied requirements only. Keep medical and emergency identities in approved local systems.
AD-018|CONFIRMED_TIMES; GROUP_COUNTS; STAFF_ROLES|Reconcile counts and build a trip-day timeline with contingency fields. Do not invent supervision ratios or emergency contacts.
AD-019|TRIP_DRAFT; APPROVED_REQUIREMENTS|Audit permissions, access, safety and unresolved facts. Block operational use while a critical approval is missing.
AD-020|CLUB_PURPOSE; SUPERVISION_POLICY|Draft routines, access options and a supervision checklist. Do not invent staffing authorization or eligibility rules.
AD-021|AVAILABILITY; DUTY_RULES; LOAD_LIMITS|Create a rota satisfying explicit constraints and show workload totals. Flag infeasibility instead of silently violating a rule.
AD-022|DUTY_OR_CLUB_PLAN; ROLE_REQUIREMENTS|Check coverage, overload, breaks and unclear ownership. Preserve contractual or local requirements supplied by the teacher.
AD-023|VERIFIED_NEED; EVIDENCE; PROPOSAL_CRITERIA|Build a concise need-action-evidence outline. Keep unsupported statistics, endorsements and impact claims out.
AD-024|COSTS; QUANTITIES; FUNDING_RESTRICTIONS|Recalculate line items and totals, explain each expense and flag restricted costs. Leave vendor quotes as supplied, not invented.
AD-025|PROPOSAL; FUNDER_RULES; SOURCES|Trace claims to evidence and check eligibility, budget and missing documents. Do not fabricate citations or approval likelihood.
SD-001|FRACTION_EXAMPLES; REPRESENTATIONS; PRIOR_KNOWLEDGE|Connect quantities, diagrams and symbols with equal wholes. Verify comparisons and state the conditions under which the explanation works.
SD-002|APPROVED_INVESTIGATION; VARIABLES; SAFETY_LIMITS|Write controls, repeated observations, units and limitations. Separate predicted patterns from measured results and prohibit fabricated data.
SD-003|CONCEPT; CONCRETE_MATERIALS; SYMBOLS|Explain the mapping between each physical action, diagram element and symbolic operation. State where the analogy breaks down.
SD-004|VERIFIED_PROBLEMS; DELIBERATE_ERRORS|Create clearly fictional wrong solutions with the first invalid step identified. Supply corrected reasoning and a fresh transfer problem.
SD-005|AUTHORIZED_TEXT; READING_OBJECTIVE|Quote only supplied passages and anchor questions to them. Distinguish text evidence from reasonable interpretation.
SD-006|WRITING_PURPOSE; SOURCE_EVIDENCE; MENTOR_TEXT|Build a writing task and annotated mentor model using authorized or original text. Do not invent quotations, authors or research findings.
SD-007|WRITING_SAMPLE; REVISION_PRIORITY|Separate idea development, organization and conventions. Focus revision on one priority before surface editing.
SD-008|ACTUAL_OBSERVATIONS; QUESTION|Build a claim-evidence-reasoning task with uncertainty and alternative explanations. Never strengthen a claim beyond the supplied data.
SD-009|SCIENCE_EXPLANATION; VERIFIED_SOURCE|Check mechanism, correlation versus causation, uncertainty and procedure safety. Cite the supplied source location for corrections where possible.
SD-010|SOURCE_TEXT; KNOWN_ORIGIN|Analyze origin, purpose, context and limits. Mark unknown provenance explicitly and avoid filling gaps from stereotypes.
SD-011|TWO_OR_MORE_SOURCES; INQUIRY_QUESTION|Compare agreement, contradiction and independence of sources. Do not treat multiple copies of one account as independent corroboration.
SD-012|HISTORICAL_QUESTION; AUTHORIZED_SOURCES|Separate supported claims, interpretations and unresolved questions. Avoid invented quotations, dates or false equivalence among evidence quality.
SD-013|PERFORMANCE_SKILL; APPROVED_EQUIPMENT|Sequence model, focused practice and reflection with observable criteria. Avoid medical or physical-training advice beyond teacher-approved activities.
SD-014|TASK; SPACE; EQUIPMENT; ACCESS_CONSTRAINTS|Adapt performance access while preserving the learning goal. Offer equivalent evidence modes without inferring diagnoses.
SD-015|PROCESS_OBJECTIVE; OBSERVABLE_EVIDENCE|Create a rubric for process, technique and reflection. Do not score body type, innate talent or expensive equipment.
